input,time
7,0.011008977890014648
9,0.01598668098449707
10,0.020998716354370117
11,0.0340728759765625
12,0.06599879264831543
2,0.011003255844116211
1,0.009000062942504883
16,2.2949070930480957
15,0.8916420936584473
12,0.0695033073425293
2,0.011000633239746094
16,2.352666139602661
1,0.008998632431030273
13,0.14899969100952148
17,6.013251304626465
2,0.011007308959960938
16,2.298626661300659
9,0.012999296188354492
7,0.014994144439697266
9,0.020999670028686523
10,0.02500152587890625
13,0.17412161827087402
15,0.9489903450012207
2,0.011000394821166992
3,0.013001680374145508
7,0.016998291015625
17,5.96927547454834
2,0.010001182556152344
14,0.4431619644165039
13,0.2960023880004883
1,0.020998477935791016
3,0.021996736526489258
3,0.017001867294311523
1,0.01200246810913086
9,0.031000614166259766
4,0.029001951217651367
3,0.02099776268005371
13,0.3820044994354248
5,0.010999679565429688
15,1.5307602882385254
8,0.03451418876647949
12,0.11999917030334473
1,0.018000364303588867
3,0.02000260353088379
14,0.5488588809967041
11,0.0859987735748291
15,1.1965737342834473
5,0.03999948501586914
6,0.021996736526489258
1,0.035001516342163086
1,0.030999422073364258
5,0.025008201599121094
2,0.02700066566467285
8,0.03000044822692871
13,0.22499918937683105
13,0.2389991283416748
2,0.012999773025512695
4,0.014994621276855469
5,0.01846480369567871
6,0.022998332977294922
12,0.08900213241577148
8,0.011999845504760742
16,2.470207691192627
10,0.03001570701599121
2,0.016997814178466797
10,0.04000067710876465
10,0.032998085021972656
15,0.9815418720245361
2,0.009998321533203125
3,0.012000322341918945
10,0.03099966049194336
10,0.029000520706176758
12,0.09750652313232422
10,0.02900075912475586
13,0.17202067375183105
4,0.010001182556152344
11,0.03799939155578613
7,0.028989315032958984
5,0.02499842643737793
6,0.05214738845825195
11,0.06499934196472168
7,0.025998592376708984
12,0.17200565338134766
13,0.16604089736938477
11,0.042016029357910156
14,0.4076676368713379
4,0.012992143630981445
17,6.458484411239624
13,0.15450525283813477
1,0.011000633239746094
7,0.013006210327148438
6,0.03200221061706543
14,0.40600132942199707
12,0.08101487159729004
4,0.013064861297607422
8,0.02299046516418457
1,0.016999483108520508
16,2.337585210800171
7,0.011001110076904297
14,0.40001726150512695
3,0.011002063751220703
5,0.012003421783447266
13,0.17052602767944336
12,0.07099413871765137
10,0.023563623428344727
9,0.02200460433959961
16,2.362800121307373
8,0.013000726699829102
17,5.991162538528442
17,8.520439386367798
5,0.021001100540161133
9,0.025998830795288086
1,0.021445512771606445
5,0.0169985294342041
9,0.03300023078918457
15,1.1487195491790771
8,0.01299905776977539
13,0.18550515174865723
9,0.015988588333129883
1,0.014003515243530273
17,7.405635833740234
3,0.010000467300415039
10,0.03200531005859375
15,1.549020528793335
1,0.06000089645385742
14,0.7677445411682129
15,1.5260932445526123
8,0.013000726699829102
9,0.030000686645507812
17,8.160870790481567
14,0.37061190605163574
9,0.016000032424926758
7,0.018000125885009766
12,0.08201050758361816
11,0.0540003776550293
12,0.10499954223632812
15,0.9340121746063232
14,0.3670010566711426
7,0.010999202728271484
8,0.013999700546264648
14,0.3676121234893799
4,0.012000322341918945
14,0.3633451461791992
11,0.03600120544433594
3,0.016000032424926758
2,0.01654958724975586
12,0.08499932289123535
10,0.025002241134643555
2,0.014994621276855469
5,0.01600360870361328
4,0.021000146865844727
7,0.01399993896484375
16,2.318352460861206
8,0.012999534606933594
10,0.02599954605102539
3,0.01500701904296875
16,2.325507164001465
2,0.010027408599853516
17,5.908606052398682
1,0.013004302978515625
15,0.8913571834564209
10,0.021000146865844727
8,0.022997379302978516
7,0.014005184173583984
7,0.015002012252807617
9,0.021236181259155273
6,0.021997928619384766
14,0.38700199127197266
15,0.8863933086395264
2,0.010999679565429688
12,0.0729982852935791
1,0.010999679565429688
15,0.9102654457092285
8,0.01199960708618164
2,0.013003349304199219
1,0.017998456954956055
1,0.025000333786010742
13,0.17800402641296387
15,0.894920825958252
3,0.011001348495483398
11,0.04200291633605957
4,0.017000675201416016
15,0.8964657783508301
10,0.02201056480407715
3,0.01600337028503418
9,0.020025253295898438
1,0.021999359130859375
5,0.016002655029296875
2,0.015000104904174805
9,0.023000478744506836
12,0.07999253273010254
6,0.014999866485595703
13,0.16199755668640137
8,0.010999679565429688
1,0.015003442764282227
2,0.01699519157409668
9,0.025000810623168945
16,2.364009380340576
12,0.07118749618530273
15,0.894066333770752
14,0.3623487949371338
7,0.010000228881835938
11,0.037000417709350586
17,5.913147449493408
3,0.009999752044677734
15,0.8954377174377441
8,0.011000871658325195
12,0.07800102233886719
15,0.8914611339569092
14,0.361173152923584
9,0.01700139045715332
7,0.017002105712890625
